Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
0,209,138,191,193,122,355,32.4,70.7,104
1,207,147,197,176,116,341,32,72.1,103
2,206,231,197,179,114,340,32.4,66.6,102
3,221,153,192,191,114,353,32.6,62.9,101
4,214,227,195,185,113,341,32.6,61.6,100
5,221,156,197,192,115,353,32.6,60.3,99
6,214,155,193,186,115,342,NAN,NAN,98
7,208,145,195,182,114,335,NAN,NAN,97
8,209,142,200,183,113,334,NAN,NAN,96
9,212,152,197,185,113,331,NAN,NAN,95
10,206,147,199,182,113,319,NAN,NAN,94
11,207,217,201,182,113,317,NAN,NAN,93
12,215,224,200,189,113,337,NAN,NAN,92
13,218,259,213,191,113,346,NAN,NAN,91
14,219,238,209,195,114,358,NAN,NAN,90
15,217,286,211,192,114,352,NAN,NAN,89
16,216,151,207,190,114,349,NAN,NAN,88
17,217,281,210,191,114,350,NAN,NAN,87
18,224,157,199,196,115,361,NAN,NAN,86
19,225,156,203,196,116,360,NAN,NAN,85
20,224,156,202,194,115,358,NAN,NAN,84
21,233,266,207,200,117,369,NAN,NAN,83
22,218,150,208,189,114,346,NAN,NAN,82
23,234,443,210,212,134,361,32.4,61.1,81
24,250,449,218,230,156,364,32.3,60.8,80
25,235,456,209,217,146,357,32.1,61,79
26,220,428,198,207,140,335,32,60.1,78
27,227,439,200,211,141,345,32.4,58.5,77
28,228,435,199,212,142,340,32.3,58.4,76
29,247,477,217,224,143,376,32.4,54.8,75
30,244,482,211,222,142,380,32.9,55.2,74
31,237,463,206,216,142,364,32,58.7,73
32,240,462,207,218,142,368,32,55.8,72
33,245,468,211,221,143,378,32,57.6,71
34,250,476,217,226,144,384,32,60.3,70
35,268,498,239,239,146,417,32.2,61.4,69
36,256,485,236,230,144,401,32.5,62.7,68
37,243,462,217,219,143,368,NAN,NAN,67
38,240,446,232,213,128,374,32.5,59.4,66
39,232,458,213,247,127,374,NAN,NAN,65
40,232,464,221,218,129,377,NAN,NAN,64
41,232,468,216,133,128,380,NAN,NAN,63
42,232,472,218,159,128,382,NAN,NAN,62
43,232,470,226,224,131,380,NAN,NAN,61
44,236,464,237,211,134,387,NAN,NAN,60
45,246,459,253,202,146,402,32.3,60.2,59
46,228,444,238,196,139,357,32.4,60,58
47,248,467,242,199,140,382,33.1,55,57
48,224,446,232,193,137,351,33,54.6,56
49,233,465,231,201,138,376,32.8,49.8,55
50,247,459,237,199,141,399,32.7,54.8,54
51,250,476,240,189,140,407,32.9,54.1,53
52,257,495,256,223,141,424,32.9,56,52
53,252,486,260,226,142,419,33.1,58.3,51
54,257,489,275,212,143,428,33.1,57.7,50
55,266,502,275,220,143,440,33.2,59.5,49
56,246,500,271,219,144,417,33.2,60.7,48
57,244,492,279,222,144,403,NAN,NAN,47
58,247,496,283,227,145,418,NAN,NAN,46
59,251,500,292,231,146,409,NAN,NAN,45
60,244,484,295,234,146,404,NAN,NAN,44
61,243,483,297,235,147,402,NAN,NAN,43
62,244,479,302,238,149,405,NAN,NAN,42
63,247,478,309,243,153,406,NAN,NAN,41
64,267,488,335,261,169,440,NAN,NAN,40
65,309,492,323,305,128,596,30.6,65.5,39
66,234,427,285,235,119,462,30.7,63.9,38
67,230,424,294,228,121,450,32,60.7,37
68,238,438,302,235,122,455,32.3,61.1,36
69,234,444,302,238,122,448,32.5,60.8,35
70,234,459,302,241,122,445,32.5,59.7,34
71,232,456,305,240,123,437,32.5,59,33
72,267,487,313,245,122,397,32.7,57.2,32
73,234,454,289,234,122,457,32.8,55.4,31
74,246,475,297,239,123,476,32.5,56.7,30
75,250,480,309,249,124,469,32.5,59.3,29
76,241,468,313,241,125,468,32.7,60,28
77,235,463,316,241,125,454,32.7,59,27
78,245,485,320,258,128,428,32.7,58.5,26
79,269,494,301,246,123,388,32.7,58.3,25
80,242,472,308,238,124,480,32.5,57.6,24
81,244,505,307,261,123,408,NAN,NAN,23
82,242,500,311,258,124,417,NAN,NAN,22
83,237,487,317,263,123,412,NAN,NAN,21
84,239,485,320,261,124,408,NAN,NAN,20
85,227,458,319,253,124,413,NAN,NAN,19
86,227,447,324,252,125,413,NAN,NAN,18
87,237,481,319,265,125,394,NAN,NAN,17
88,245,507,318,270,124,396,NAN,NAN,16
89,244,496,323,270,125,399,NAN,NAN,15
90,226,457,315,249,125,420,NAN,NAN,14
91,252,493,318,272,126,467,NAN,NAN,13
92,236,481,318,264,126,468,NAN,NAN,12
93,239,483,325,265,128,466,NAN,NAN,11
94,248,510,330,271,128,470,NAN,NAN,10
95,238,513,329,263,128,461,NAN,NAN,9
96,227,480,313,251,128,479,NAN,NAN,8
97,305,489,348,314,135,639,30.8,60.8,7
98,267,472,385,291,138,546,30.9,60.5,6
99,267,476,393,291,140,530,32.2,56.5,5
100,279,488,397,295,144,495,32.3,58.8,4
101,286,506,369,289,141,460,31.8,59.7,3
102,268,488,398,295,143,495,NAN,NAN,2
103,276,487,407,286,148,528,NAN,NAN,1
104,298,518,414,293,152,539,NAN,NAN,0
105,298,510,443,311,164,498,NAN,NAN,0
106,288,513,451,291,151,530,31.8,61.7,0
107,291,509,439,287,154,512,32.1,60.9,0
108,294,512,442,290,154,518,NAN,NAN,0
109,292,507,437,288,153,513,NAN,NAN,0
110,290,505,435,286,149,510,NAN,NAN,0
111,293,510,440,289,154,515,NAN,NAN,0
112,291,508,438,287,153,512,NAN,NAN,0
113,294,513,443,290,155,518,NAN,NAN,0
114,275,506,436,288,152,498,NAN,NAN,0
115,287,514,444,291,156,499,NAN,NAN,0
116,290,504,434,286,151,509,NAN,NAN,0
117,293,511,441,289,154,516,NAN,NAN,0
118,291,507,437,287,153,513,NAN,NAN,0
119,294,515,445,290,155,519,NAN,NAN,0
120,279,499,436,288,152,511,NAN,NAN,0
121,295,513,443,291,156,518,NAN,NAN,0
122,290,505,435,286,151,531,NAN,NAN,0
123,301,528,440,289,154,516,NAN,NAN,0
124,300,508,438,287,153,512,NAN,NAN,0
125,294,514,444,290,155,519,NAN,NAN,0
126,292,506,436,288,152,511,NAN,NAN,0
127,295,513,443,291,156,518,NAN,NAN,0
128,289,505,435,286,151,510,NAN,NAN,0
